item_code|part_name|material|percent
100039|EXTERIOR|poliester|100%
100039|FORRO|poliester|100%
100040|EXTERIOR|viscosa|100%
100041|EXTERIOR|poliester|99%
100041|EXTERIOR|elastano|1%
100042|EXTERIOR|liocel|100%
100043|FORRO|poliester|100%
100044|EXTERIOR|viscosa|100%
100045|EXTERIOR|poliester|100%
100045|FORRO|poliester|100%
100046|EXTERIOR|viscosa|100%
100047|EXTERIOR|poliester|54%
100047|EXTERIOR|algodon|45%
100047|EXTERIOR|elastano|1%
100048|EXTERIOR|algodon|100%
100050|EXTERIOR|poliester|100%
100051|EXTERIOR|algodon|53%
100051|EXTERIOR|poliester|44%
100051|EXTERIOR|elastano|3%
100052|EXTERIOR|poliester|100%
100053|EXTERIOR|algodon|96%
100053|EXTERIOR|elastano|4%
100054|EXTERIOR|viscosa|100%
100055|EXTERIOR|poliester|92%
100055|EXTERIOR|elastano|8%
100056|EXTERIOR|algodon|100%
100057|EXTERIOR|algodon|96%
100057|EXTERIOR|elastano|4%
300000|EXTERIOR|poliester|63%
300000|EXTERIOR|viscosa|33%
300000|EXTERIOR|elastano|4%
300001|EXTERIOR|poliester|63%
300001|EXTERIOR|viscosa|33%
300001|EXTERIOR|elastano|4%
300002|EXTERIOR|poliester|63%
300002|EXTERIOR|viscosa|33%
300002|EXTERIOR|elastano|4%
300003|EXTERIOR|poliester|90%
300003|EXTERIOR|elastano|10%
300004|EXTERIOR|poliester|100%
300004|FORRO|poliester|100%
300009|EXTERIOR|poliester|33%
300009|EXTERIOR|poliamida|22%
300009|EXTERIOR|acrilico|21%
300009|EXTERIOR|lana|10%
300009|EXTERIOR|camello|10%
300009|EXTERIOR|elastano|4%
300010|EXTERIOR|algodon|100%
300012|EXTERIOR|poliester|64%
300012|EXTERIOR|viscosa|34%
300012|EXTERIOR|elastano|2%
300012|FORRO|poliester|100%
300013|EXTERIOR|algodon|100%
300013|FORRO|poliester|100%
300014|EXTERIOR|poliester|64%
300014|EXTERIOR|viscosa|31%
300014|EXTERIOR|elastano|5%
300014|FORRO|poliester|100%
300015|EXTERIOR|algodon|70%
300015|EXTERIOR|poliester|30%
300016|EXTERIOR|algodon|70%
300016|EXTERIOR|poliester|30%
300017|EXTERIOR|algodon|70%
300017|EXTERIOR|poliester|30%
300021|EXTERIOR|poliester|66%
300021|EXTERIOR|viscosa|32%
300021|EXTERIOR|elastano|2%
300022|EXTERIOR|poliester|77%
300022|EXTERIOR|viscosa|18%
300022|EXTERIOR|elastano|5%
300023|EXTERIOR|viscosa|100%
300024|EXTERIOR|poliester|100%
300025|EXTERIOR|poliester|100%
300026|EXTERIOR|algodon|100%
300026|FORRO|poliester|100%
300027|EXTERIOR|algodon|100%
300027|FORRO|poliester|100%
300028|EXTERIOR|poliester|63%
300028|EXTERIOR|viscosa|34%
300028|EXTERIOR|elastano|3%
300029|EXTERIOR|algodon|100%
300030|EXTERIOR|poliester|78%
300030|EXTERIOR|poliamida|22%
300032|EXTERIOR|poliester|98%
300032|EXTERIOR|elastano|2%
300032|FORRO|poliester|100%
300034|EXTERIOR|poliester|98%
300034|EXTERIOR|elastano|2%
300034|FORRO|poliester|100%
300035|EXTERIOR|poliester|77%
300035|EXTERIOR|viscosa|18%
300035|EXTERIOR|elastano|5%
300036|EXTERIOR|viscosa|100%
300037|EXTERIOR|viscosa|100%
300038|EXTERIOR|viscosa|100%
300039|EXTERIOR|viscosa|100%
300040|EXTERIOR|viscosa|100%
300045|EXTERIOR|poliester|100%
300046|EXTERIOR|poliester|50%
300046|EXTERIOR|viscosa|30%
300046|EXTERIOR|lana|19%
300046|EXTERIOR|elastano|1%
300046|FORRO|viscosa|100%
300047|EXTERIOR|poliester|100%
300047|FORRO|poliester|100%
300048|EXTERIOR|viscosa|74%
300048|EXTERIOR|poliamida|26%
300049|EXTERIOR|poliester|100%
300050|EXTERIOR|cupro|100%
300051|EXTERIOR|poliester|68%
300051|EXTERIOR|algodon|32%
300052|EXTERIOR|poliester|100%
300052|FORRO|poliester|100%
300053|EXTERIOR|poliester|68%
300053|EXTERIOR|viscosa|28%
300053|EXTERIOR|elastano|4%
300053|FORRO|poliester|100%
300054|EXTERIOR|poliester|76%
300054|EXTERIOR|viscosa|22%
300054|EXTERIOR|elastano|2%
300057|EXTERIOR|algodon|100%
300059|EXTERIOR|acrilico|33%
300059|EXTERIOR|algodon|30%
300059|EXTERIOR|poliester|25%
300059|EXTERIOR|viscosa|12%
400000|EXTERIOR|poliester|96%
400000|EXTERIOR|elastano|4%
400001|EXTERIOR|poliester|96%
400001|EXTERIOR|elastano|4%
400002|EXTERIOR|poliester|96%
400002|EXTERIOR|elastano|4%
400005|EXTERIOR|algodon|49%
400005|EXTERIOR|modal|48%
400005|EXTERIOR|elastano|3%
400005|FORRO|algodon|100%
400006|EXTERIOR|algodon|95%
400006|EXTERIOR|elastano|5%
400007|EXTERIOR|algodon|95%
400007|EXTERIOR|elastano|5%
400008|EXTERIOR|algodon|95%
400008|EXTERIOR|elastano|5%
400009|EXTERIOR|algodon|88%
400009|EXTERIOR|elastano|7%
400009|EXTERIOR|viscosa|5%
400010|EXTERIOR|algodon|88%
400010|EXTERIOR|elastano|7%
400010|EXTERIOR|viscosa|5%
400011|EXTERIOR|algodon|88%
400011|EXTERIOR|elastano|7%
400011|EXTERIOR|viscosa|5%
400012|EXTERIOR|algodon|100%
400013|EXTERIOR|algodon|100%
400014|EXTERIOR|algodon|100%
400015|EXTERIOR|algodon|100%
400016|EXTERIOR|algodon|100%
400017|EXTERIOR|nailon|95%
400017|EXTERIOR|elastano|5%
400018|EXTERIOR|nailon|95%
400018|EXTERIOR|elastano|5%
400019|EXTERIOR|algodon|95%
400019|EXTERIOR|elastano|5%
400020|EXTERIOR|algodon|95%
400020|EXTERIOR|elastano|5%
400021|EXTERIOR|algodon|95%
400021|EXTERIOR|elastano|5%
400022|EXTERIOR|algodon|95%
400022|EXTERIOR|elastano|5%
400023|EXTERIOR|algodon|95%
400023|EXTERIOR|elastano|5%
400024|EXTERIOR|viscosa|49%
400024|EXTERIOR|poliester|28%
400024|EXTERIOR|poliamida|23%
400025|EXTERIOR|viscosa|97%
400025|EXTERIOR|elastano|3%
400026|EXTERIOR|algodon|92%
400026|EXTERIOR|elastano|8%
400027|EXTERIOR|algodon|92%
400027|EXTERIOR|elastano|8%
400028|EXTERIOR|algodon|42%
400028|EXTERIOR|modal|39%
400028|EXTERIOR|poliester|16%
400028|EXTERIOR|elastano|3%
400029|EXTERIOR|viscosa|55%
400029|EXTERIOR|poliamida|25%
400029|EXTERIOR|poliester|20%
400030|EXTERIOR|poliamida|92%
400030|EXTERIOR|elastano|8%
400031|EXTERIOR|poliamida|92%
400031|EXTERIOR|elastano|8%
400032|EXTERIOR|poliamida|92%
400032|EXTERIOR|elastano|8%
400033|EXTERIOR|viscosa|55%
400033|EXTERIOR|poliamida|25%
400033|EXTERIOR|poliester|20%
400034|EXTERIOR|viscosa|55%
400034|EXTERIOR|poliamida|25%
400034|EXTERIOR|poliester|20%
400035|EXTERIOR|algodon|96%
400035|EXTERIOR|elastano|4%
400036|EXTERIOR|algodon|96%
400036|EXTERIOR|elastano|4%
400037|EXTERIOR|algodon|96%
400037|EXTERIOR|elastano|4%
400038|EXTERIOR|algodon|96%
400038|EXTERIOR|elastano|4%
400039|EXTERIOR|algodon|96%
400039|EXTERIOR|elastano|4%
400040|EXTERIOR|algodon|95%
400040|EXTERIOR|elastano|5%
400041|EXTERIOR|algodon|95%
400041|EXTERIOR|elastano|5%
400042|EXTERIOR|algodon|95%
400042|EXTERIOR|elastano|5%
400043|EXTERIOR|viscosa|49%
400043|EXTERIOR|poliester|29%
400043|EXTERIOR|poliamida|22%
400044|EXTERIOR|viscosa|49%
400044|EXTERIOR|poliester|29%
400044|EXTERIOR|poliamida|22%
400045|EXTERIOR|viscosa|74%
400045|EXTERIOR|poliester|22%
400045|EXTERIOR|elastano|4%
400046|EXTERIOR|viscosa|74%
400046|EXTERIOR|poliester|22%
400046|EXTERIOR|elastano|4%
400047|EXTERIOR|viscosa|74%
400047|EXTERIOR|poliester|22%
400047|EXTERIOR|elastano|4%
400048|EXTERIOR|algodon|100%
400049|EXTERIOR|algodon|100%
400050|EXTERIOR|algodon|100%
400051|EXTERIOR|algodon|100%
400052|EXTERIOR|algodon|100%
400053|EXTERIOR|viscosa|49%
400053|EXTERIOR|poliester|46%
400053|EXTERIOR|elastano|5%
400054|EXTERIOR|viscosa|49%
400054|EXTERIOR|poliester|46%
400054|EXTERIOR|elastano|5%
400055|EXTERIOR|viscosa|49%
400055|EXTERIOR|poliester|46%
400055|EXTERIOR|elastano|5%
400056|EXTERIOR|algodon|100%
400057|EXTERIOR|algodon|95%
400057|EXTERIOR|elastano|5%
400058|EXTERIOR|algodon|95%
400058|EXTERIOR|elastano|5%
400059|EXTERIOR|algodon|95%
400059|EXTERIOR|elastano|5%
500000|EXTERIOR|poliester|76%
500000|EXTERIOR|viscosa|17%
500000|EXTERIOR|elastano|7%
500001|EXTERIOR|poliester|100%
500003|EXTERIOR|poliester|64%
500003|EXTERIOR|viscosa|31%
500003|EXTERIOR|elastano|5%
500004|EXTERIOR|viscosa|46%
500004|EXTERIOR|nailon|28%
500004|EXTERIOR|poliester|26%
500005|EXTERIOR|viscosa|46%
500005|EXTERIOR|nailon|28%
500005|EXTERIOR|poliester|26%
500006|EXTERIOR|poliester|64%
500006|EXTERIOR|viscosa|31%
500006|EXTERIOR|elastano|5%
500007|FORRO|poliester|100%
500010|EXTERIOR|viscosa|46%
500010|EXTERIOR|nailon|28%
500010|EXTERIOR|poliester|26%
500011|EXTERIOR|liocel|55%
500011|EXTERIOR|algodon|42%
500011|EXTERIOR|elastano|3%
500011|FORRO|algodon|100%
500012|EXTERIOR|poliester|74%
500012|EXTERIOR|viscosa|20%
500012|EXTERIOR|elastano|6%
500013|EXTERIOR|nailon|77%
500013|EXTERIOR|elastano|23%
500013|FORRO|nailon|77%
500013|FORRO|elastano|23%
500014|EXTERIOR|liocel|55%
500014|EXTERIOR|algodon|42%
500014|EXTERIOR|elastano|3%
500015|EXTERIOR|liocel|65%
500015|EXTERIOR|algodon|24%
500015|EXTERIOR|lino|11%
500016|EXTERIOR|poliester|100%
500021|EXTERIOR|algodon|51%
500021|EXTERIOR|poliester|46%
500021|EXTERIOR|elastano|3%
500022|EXTERIOR|liocel|100%
500022|FORRO|algodon|100%
500023|EXTERIOR|poliester|100%
500024|EXTERIOR|poliester|62%
500024|EXTERIOR|viscosa|36%
500024|EXTERIOR|elastano|2%
500025|EXTERIOR|poliester|67%
500025|EXTERIOR|viscosa|29%
500025|EXTERIOR|elastano|4%
500026|EXTERIOR|poliester|67%
500026|EXTERIOR|viscosa|31%
500026|EXTERIOR|elastano|2%
500027|EXTERIOR|poliester|100%
500028|EXTERIOR|liocel|55%
500028|EXTERIOR|algodon|42%
500028|EXTERIOR|elastano|3%
500028|FORRO|algodon|100%
500029|EXTERIOR|poliester|76%
500029|EXTERIOR|viscosa|17%
500029|EXTERIOR|elastano|7%
500030|EXTERIOR|poliester|76%
500030|EXTERIOR|viscosa|17%
500030|EXTERIOR|elastano|7%
500031|EXTERIOR|poliester|76%
500031|EXTERIOR|viscosa|17%
500031|EXTERIOR|elastano|7%
500032|EXTERIOR|viscosa|75%
500032|EXTERIOR|poliester|22%
500032|EXTERIOR|elastano|3%
500033|EXTERIOR|algodon|35%
500033|EXTERIOR|poliester|31%
500033|EXTERIOR|viscosa|17%
500033|EXTERIOR|lino|15%
500033|EXTERIOR|elastano|2%
500034|EXTERIOR|poliester|100%
500035|EXTERIOR|viscosa|100%
500036|EXTERIOR|algodon|97%
500036|EXTERIOR|elastano|3%
500037|EXTERIOR|poliester|67%
500037|EXTERIOR|viscosa|29%
500037|EXTERIOR|elastano|4%
